Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank,,,,,,,,,,,,
2018,Army,11,29,,Independent,N,P,BYE,Independent,0,DNP,N,,,,,DNP,80,0,26,,,,,,,,,,,,
2018,UAB,11,30,-20,CUSA,H,F,Southern Miss,CUSA,3,Win,Y,2,2.02,42,364,Completed,90,0,27,,,,,,,,,,,,
2018,Northwestern,11,31,-1,Big 10,A,U,Iowa  ,Big 10,4,Win,N,0,-1.26,5,132,Completed,60,0,24,,,,,,,,,,,,
2018,Iowa  ,11,32,1,Big 10,H,F,Northwestern,Big 10,-4,Lose,N,0,1.26,-5,-132,Completed,60,0,35,,,,,,,,,,,,
2018,Boise State,11,33,17,MWC,H,U,Fresno State,MWC,7,Win,N,1,-0.14,-16,532,Completed,80,0,23,,,,,,,,,,,,
2018,Purdue,11,34,-16,Big 10,A,F,Minnesota,Big 10,-31,Lose,N,0,-3.04,31,-386,Completed,50,0,50,,,,,,,,,,,,
2018,Buffalo,11,35,-15,MAC,H,F,Kent State,MAC,34,Win,N,1,3.44,-15,650,Completed,90,0,31,,,,,,,,,,,,
2018,Oregon,11,36,10,PAC 12,A,U,Utah,PAC 12,-7,Lose,N,1,-0.19,38,-352,Completed,60,0,50,,,,,,,,,,,,
2018,San Diego State,11,37,-13,MWC,H,F,UNLV,MWC,-3,Lose,N,0,-1.25,-6,86,Completed,70,0,42,,,,,,,,,,,,
2018,Duke,11,38,-12,ACC,H,F,North Carolina,ACC,14,Win,N,3,0.45,-75,148,Completed,70,0,33,,,,,,,,,,,,
2018,Houston,11,39,-11,AAC,H,F,Temple,AAC,-10,Lose,N,2,-0.84,-24,-526,Completed,70,0,50,,,,,,,,,,,,
